,top1_return
2016-01-01,-0.0435403518832409
2016-02-01,0.494161478829219
2016-03-01,-0.12113602184668848
2016-04-01,-0.1302860005844787
2016-05-01,-0.056617696704891585
2016-06-01,-0.12707960355575887
2016-07-01,0.10146203250551111
2016-08-01,0.051700731173584646
2016-09-01,0.06554296248140834
2016-10-01,-0.1769877435401742
2016-11-01,-0.04560446739230728
2016-12-01,0.0238359104346737
2017-01-01,-0.09482991922027073
2017-02-01,0.10600851813501899
2017-03-01,0.12419931301947007
2017-04-01,-0.00906752372385633
2017-05-01,0.02579019383003356
2017-06-01,0.0344156086105607
2017-07-01,-0.0027703148152805612
2017-08-01,-0.22046655661265024
2017-09-01,-0.08570328112070213
2017-10-01,-0.01448794321994884
2017-11-01,0.03244962518262917
2017-12-01,0.06173631610936514
2018-01-01,-0.08895338064638836
2018-02-01,0.15358872130859558
2018-03-01,0.08984920007503816
2018-04-01,-0.10770553494716706
2018-05-01,-0.02818977626229735
2018-06-01,0.07866431571776777
2018-07-01,-0.03657620500328296
2018-08-01,0.01439427406712479
2018-09-01,-0.016990267346577936
2018-10-01,-0.06482395537606112
2018-11-01,-0.07190389181513912
2018-12-01,0.12797757027404333
2019-01-01,0.10457460630010007
2019-02-01,0.13726066778288737
2019-03-01,-0.018705048797512558
2019-04-01,-0.11994556744903795
2019-05-01,0.05030752014847639
2019-06-01,-0.05805936394080713
2019-07-01,-0.02291230357986207
2019-08-01,-0.16302700898295275
2019-09-01,-0.06645912503813589
2019-10-01,0.03687293061654229
2019-11-01,0.050310260767970405
2019-12-01,-0.18537887695838628
2020-01-01,0.1737408274039962
2020-02-01,0.10676505780754719
2020-03-01,0.34145912949634694
2020-04-01,0.008367918907806526
2020-05-01,-0.10818221699645203
2020-06-01,-0.034260265357953235
2020-07-01,-0.013657450919386638
2020-08-01,0.07009437773320237
2020-09-01,0.030573340682465977
2020-10-01,-0.08997996794112961
2020-11-01,0.12839610177245087
2020-12-01,0.44738346006267915
2021-01-01,0.0035536655738557243
2021-02-01,-0.08472907290912635
2021-03-01,0.07080557807742727
2021-04-01,-0.30112141138100235
2021-05-01,0.12795820871793828
2021-06-01,-0.10289278543935176
2021-07-01,-0.13533140929344734
2021-08-01,-0.057658593837118466
2021-09-01,0.007065704571803444
2021-10-01,0.02504235631959939
2021-11-01,0.028413069990091078
2021-12-01,0.023911019209895024
2022-01-01,-0.09905189547417037
2022-02-01,-0.07234022690815478
2022-03-01,-0.035413848178538654
2022-04-01,0.008410775678037608
2022-05-01,0.030897950959307918
2022-06-01,-0.017152550743840478
2022-07-01,0.0018593644852851199
2022-08-01,-0.043650440793383205
2022-09-01,-0.008671280047957364
2022-10-01,0.05996998843452128
2022-11-01,-0.02244841588046187
2022-12-01,-0.10278593140199666
2023-01-01,0.11493583810975028
2023-02-01,0.1820765015483332
2023-03-01,0.12654059914204874
2023-04-01,-0.015916610725864033
2023-05-01,0.008117847270400658
2023-06-01,-0.042150050252355076
2023-07-01,-0.10232865270058789
2023-08-01,-0.022648683363096556
2023-09-01,0.19599998707555533
2023-10-01,0.22352240586212968
2023-11-01,-0.14524299431820797
2023-12-01,-0.01710890308660551
2024-01-01,0.04570654621174919
2024-02-01,0.14442603674839116
2024-03-01,-0.07590456350729025
2024-04-01,-0.13217017005072906
2024-05-01,0.05877436546277748
2024-06-01,0.0883257214704174
2024-07-01,0.08201290809522743
2024-08-01,0.050713031033995826
2024-09-01,-0.14259183919222806
2024-10-01,0.7995533279123597
2024-11-01,0.08313194575143634
2024-12-01,-0.392806493438255
