run,direction,strategy,sharpe,sortino,treynor,treynor_raw,information,calmar,cum_ret,mdd,mdd_mag,mer_m,mer_ann
1,long,baseline,0.1749411710526358,0.2827448656760375,0.12494440014081458,0.12494440014081458,0.08979711288879894,-0.009758700265498499,-0.05299359471714138,-0.6180814666986788,0.6180814666986788,0.0028403122054751475,0.03408374646570177
1,long,gps,-0.09552223074609247,-0.16277029578847546,-0.04598545733899616,-0.04598545733899616,-0.18788149074650615,-0.1475441647191869,-0.633308924608333,-0.7149203390086327,0.7149203390086327,-0.005803392742675513,-0.06964071291210616
1,long,weighted,0.22667122744922324,0.3335278244385374,0.03264223203864346,0.03264223203864346,,0.04956303059553423,0.2214102400295579,-0.45339582037349613,0.45339582037349613,0.0,0.0
1,short,baseline,0.009029548410583005,0.016249619590059747,0.002196125219247902,-0.002196125219247902,-0.0452065909536906,-0.12634600077949942,-0.6699493221230134,-0.9172003262230689,0.9172003262230689,-0.002327688066513861,-0.02793225679816633
1,short,gps,0.3948587527371278,0.6849400067121151,0.2447770423138153,-0.2447770423138153,0.28725484199892615,0.10814665532307803,1.0463675413994116,-0.7657535873584669,0.7657535873584669,0.011960177536478774,0.14352213043774528
2,long,baseline,-0.044058111772687786,-0.07779374378548284,-0.01983688245512887,-0.01983688245512887,-0.15978111048291932,-0.12372368834133055,-0.6119832984078772,-0.8070096648688057,0.8070096648688057,-0.005269338648186546,-0.06323206377823856
2,long,gps,0.3187348472945758,0.5011019071717243,0.09988855033885108,0.09988855033885108,0.21506028968639535,0.09281903034412876,0.5610935781665052,-0.5465727365871739,0.5465727365871739,0.0057236050072763155,0.06868326008731579
2,long,weighted,0.32061665134068335,0.6113096977088895,0.044893285736015254,0.044893285736015254,,0.08002929393054249,0.37296722997607534,-0.44792235052913487,0.44792235052913487,0.0,0.0
2,short,baseline,-0.05195736315997397,-0.07554379844337601,-0.024629581295303103,0.024629581295303103,-0.14036382384221843,-0.1327784859606664,-0.6289688588887195,-0.7856099584117089,0.7856099584117089,-0.005522457237058711,-0.06626948684470453
2,short,gps,0.4885460116442979,0.8892328693268118,0.19622545178459952,-0.19622545178459952,0.34104518731872246,0.19792512684266497,2.008286473802421,-0.6577097786356313,0.6577097786356313,0.014824502577300317,0.1778940309276038
